locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFFIBJOL_01633	CDS	645				Thioredoxin-like reductase
HFFIBJOL_01634	CDS	780			COG1136	putative ABC transporter ATP-binding protein
HFFIBJOL_01635	CDS	2604				hypothetical protein
HFFIBJOL_01636	CDS	981				hypothetical protein
HFFIBJOL_01637	CDS	1659	katA_1	1.11.1.6	COG0753	Catalase
HFFIBJOL_01638	CDS	306				hypothetical protein
HFFIBJOL_01639	CDS	261				hypothetical protein
HFFIBJOL_01640	CDS	399				hypothetical protein
HFFIBJOL_01641	CDS	420				hypothetical protein
HFFIBJOL_01642	CDS	1026	pfkA2_2	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 2
HFFIBJOL_01643	CDS	2100	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
HFFIBJOL_01644	CDS	1212	ackA	2.7.2.1	COG0282	Acetate kinase
HFFIBJOL_01645	CDS	1428	pyk_1	2.7.1.40	COG0469	Pyruvate kinase
HFFIBJOL_01646	CDS	552				hypothetical protein
HFFIBJOL_01647	CDS	3102				hypothetical protein
HFFIBJOL_01648	CDS	1254				hypothetical protein
HFFIBJOL_01649	CDS	855				hypothetical protein
HFFIBJOL_01650	CDS	1377				hypothetical protein
HFFIBJOL_01651	CDS	507				hypothetical protein
HFFIBJOL_01652	CDS	633				hypothetical protein
HFFIBJOL_01653	CDS	963			COG3118	putative protein
HFFIBJOL_01654	CDS	705				hypothetical protein
HFFIBJOL_01655	CDS	1020	strE_2	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
HFFIBJOL_01656	CDS	1173	murG_1	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HFFIBJOL_01657	CDS	825	mprA_1			Response regulator MprA
HFFIBJOL_01658	CDS	1398	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
HFFIBJOL_01659	CDS	576				hypothetical protein
HFFIBJOL_01660	CDS	2343	secDF		COG0341	Protein translocase subunit SecDF
HFFIBJOL_01661	CDS	1701	mcm	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
HFFIBJOL_01662	CDS	333				putative protein
HFFIBJOL_01663	CDS	510				hypothetical protein
HFFIBJOL_01664	CDS	1314	entS_2			Enterobactin exporter EntS
HFFIBJOL_01665	CDS	999				hypothetical protein
HFFIBJOL_01666	CDS	306				hypothetical protein
HFFIBJOL_01667	CDS	345				hypothetical protein
HFFIBJOL_01668	CDS	594				hypothetical protein
HFFIBJOL_01669	CDS	651				hypothetical protein
HFFIBJOL_01670	CDS	786				hypothetical protein
HFFIBJOL_01671	CDS	477				hypothetical protein
HFFIBJOL_01672	CDS	1404	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
HFFIBJOL_01673	CDS	663	tcrA_3		COG0745	Transcriptional regulatory protein TcrA
HFFIBJOL_01674	CDS	651				hypothetical protein
HFFIBJOL_01675	CDS	885				hypothetical protein
HFFIBJOL_01676	CDS	969		3.6.-.-	COG1703	putative GTPase
HFFIBJOL_01677	CDS	1209		2.3.1.9	COG0183	putative acetyl-CoA acetyltransferase
HFFIBJOL_01678	CDS	474	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
HFFIBJOL_01679	CDS	4245				hypothetical protein
HFFIBJOL_01680	CDS	939				hypothetical protein
HFFIBJOL_01681	CDS	1104	bcrA_1			Bacitracin transport ATP-binding protein BcrA
HFFIBJOL_01682	CDS	774				hypothetical protein
HFFIBJOL_01683	CDS	1263	btuD_8	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFFIBJOL_01684	CDS	1311				hypothetical protein
HFFIBJOL_01685	CDS	318				hypothetical protein
HFFIBJOL_01686	CDS	1029	luxA	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
HFFIBJOL_01687	CDS	393				hypothetical protein
HFFIBJOL_01688	CDS	660	nucS	3.1.-.-	COG1637	Endonuclease NucS
HFFIBJOL_01689	CDS	2517				hypothetical protein
HFFIBJOL_01690	CDS	324				hypothetical protein
HFFIBJOL_01691	CDS	849		1.1.1.35	COG1250	3-hydroxybutyryl-CoA dehydrogenase
HFFIBJOL_01692	CDS	642				hypothetical protein
HFFIBJOL_01693	CDS	783	drrA_2	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
HFFIBJOL_01694	CDS	756	drrC		COG0842	putative doxorubicin resistance ABC transporter permease protein DrrC
HFFIBJOL_01695	CDS	573		2.5.1.17	COG2096	Corrinoid adenosyltransferase
HFFIBJOL_01696	CDS	603				hypothetical protein
HFFIBJOL_01697	CDS	1395				hypothetical protein
HFFIBJOL_01698	CDS	687	lnrK_3		COG2197	Transcriptional regulatory protein LnrK
HFFIBJOL_01699	CDS	2133				hypothetical protein
HFFIBJOL_01700	CDS	450				hypothetical protein
HFFIBJOL_01701	CDS	384	atpC			ATP synthase epsilon chain
HFFIBJOL_01702	CDS	1443	atpD	7.1.2.2		ATP synthase subunit beta
HFFIBJOL_01703	CDS	921	atpG			ATP synthase gamma chain
HFFIBJOL_01704	CDS	1593	atpA	7.1.2.2		ATP synthase subunit alpha
HFFIBJOL_01705	CDS	816	atpH_1			ATP synthase subunit delta
HFFIBJOL_01706	CDS	567	atpF		COG0711	ATP synthase subunit b
HFFIBJOL_01707	CDS	240	atpH_2			ATP synthase subunit c
HFFIBJOL_01708	CDS	813	atpB			ATP synthase subunit a
HFFIBJOL_01709	CDS	438				hypothetical protein
HFFIBJOL_01710	CDS	1365	wecA	2.7.8.35	COG0472	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
HFFIBJOL_01711	CDS	1338	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
HFFIBJOL_01712	CDS	663				hypothetical protein
HFFIBJOL_01713	CDS	648		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
HFFIBJOL_01714	CDS	903	prmC_2	2.1.1.297	COG2890	Release factor glutamine methyltransferase
HFFIBJOL_01715	CDS	1080	prfA		COG0216	Peptide chain release factor 1
HFFIBJOL_01716	CDS	225	rpmE		COG0254	50S ribosomal protein L31
HFFIBJOL_01717	CDS	1128	lcpA_1		COG1316	Cell wall biosynthesis protein LcpA
HFFIBJOL_01718	CDS	2049	rho	3.6.4.-		Transcription termination factor Rho
HFFIBJOL_01719	CDS	918	thrB	2.7.1.39	COG0083	Homoserine kinase
HFFIBJOL_01720	CDS	1077	thrC_1	4.2.3.1	COG0498	Threonine synthase
HFFIBJOL_01721	CDS	1326	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
HFFIBJOL_01722	CDS	1392	lysA_2	4.1.1.20	COG0019	Diaminopimelate decarboxylase
HFFIBJOL_01723	CDS	813				hypothetical protein
HFFIBJOL_01724	CDS	528	phoP_2		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HFFIBJOL_01725	tRNA	74				tRNA-Arg(ccg)
HFFIBJOL_01726	CDS	789				hypothetical protein
HFFIBJOL_01727	CDS	1758				hypothetical protein
HFFIBJOL_01728	CDS	477				hypothetical protein
HFFIBJOL_01729	CDS	10689	dltA_5	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
HFFIBJOL_01730	CDS	732				hypothetical protein
HFFIBJOL_01731	CDS	1644	lgrD_3			Linear gramicidin synthase subunit D
HFFIBJOL_01732	CDS	1275				hypothetical protein
HFFIBJOL_01733	CDS	1149				hypothetical protein
HFFIBJOL_01734	CDS	1023				hypothetical protein
HFFIBJOL_01735	CDS	1116	Acd	1.3.99.32		Glutaryl-CoA dehydrogenase
HFFIBJOL_01736	CDS	294				hypothetical protein
HFFIBJOL_01737	CDS	909	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
HFFIBJOL_01738	tRNA	94				tRNA-Ala(cgc)
HFFIBJOL_01739	CDS	405				hypothetical protein
HFFIBJOL_01740	CDS	834				hypothetical protein
HFFIBJOL_01741	CDS	765				hypothetical protein
HFFIBJOL_01742	CDS	1233		1.14.15.29	COG2124	Steroid C26-monooxygenase
HFFIBJOL_01743	CDS	765				hypothetical protein
HFFIBJOL_01744	CDS	621				hypothetical protein
HFFIBJOL_01745	CDS	735				hypothetical protein
HFFIBJOL_01746	CDS	1287		1.14.-.-		Cytochrome P450 165B3
HFFIBJOL_01747	CDS	1470	rodA_1		COG0772	putative FtsW-like protein
HFFIBJOL_01748	CDS	1455	pbpA_1		COG0768	Penicillin-binding protein A
HFFIBJOL_01749	CDS	540				hypothetical protein
HFFIBJOL_01750	CDS	837	ylmA_1	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
HFFIBJOL_01751	CDS	1122				hypothetical protein
HFFIBJOL_01752	CDS	948				putative protein
HFFIBJOL_01753	CDS	741				hypothetical protein
HFFIBJOL_01754	CDS	264				hypothetical protein
HFFIBJOL_01755	CDS	1164		3.2.1.14		Exochitinase 1
HFFIBJOL_01756	CDS	1233				hypothetical protein
HFFIBJOL_01757	CDS	1536	tap_3	3.4.14.-		Tripeptidyl aminopeptidase
HFFIBJOL_01758	CDS	1251	styA	1.14.14.11		Styrene monooxygenase StyA
HFFIBJOL_01759	CDS	657				hypothetical protein
HFFIBJOL_01760	CDS	402				hypothetical protein
HFFIBJOL_01761	CDS	498			COG2018	Serine protease inhibitor
HFFIBJOL_01762	CDS	2862				hypothetical protein
HFFIBJOL_01763	CDS	846				hypothetical protein
HFFIBJOL_01764	CDS	711				hypothetical protein
HFFIBJOL_01765	CDS	1365		1.14.-.-		Cytochrome P450 CYP107DY1
HFFIBJOL_01766	CDS	576				hypothetical protein
HFFIBJOL_01767	CDS	858	acm_1	3.2.1.17		Lysozyme M1
HFFIBJOL_01768	CDS	600				hypothetical protein
HFFIBJOL_01769	CDS	2409	lon	3.4.21.53	COG0466	Lon protease
HFFIBJOL_01770	CDS	738				hypothetical protein
HFFIBJOL_01771	CDS	732	speE_1	2.5.1.16		Polyamine aminopropyltransferase
HFFIBJOL_01772	CDS	741	phoP_3		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HFFIBJOL_01773	CDS	1203	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
HFFIBJOL_01774	CDS	3846	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
HFFIBJOL_01775	CDS	3006				hypothetical protein
HFFIBJOL_01776	CDS	1218	chuR	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
HFFIBJOL_01777	CDS	228				hypothetical protein
HFFIBJOL_01778	CDS	3309				hypothetical protein
HFFIBJOL_01779	CDS	1059				hypothetical protein
HFFIBJOL_01780	CDS	2169				hypothetical protein
HFFIBJOL_01781	CDS	396				hypothetical protein
HFFIBJOL_01782	CDS	177				hypothetical protein
HFFIBJOL_01783	CDS	927				hypothetical protein
HFFIBJOL_01784	CDS	1128				hypothetical protein
HFFIBJOL_01785	CDS	885				hypothetical protein
HFFIBJOL_01786	CDS	564				hypothetical protein
HFFIBJOL_01787	CDS	210				hypothetical protein
HFFIBJOL_01788	CDS	711				hypothetical protein
HFFIBJOL_01789	CDS	495	betI_3			HTH-type transcriptional regulator BetI
HFFIBJOL_01790	CDS	282				hypothetical protein
HFFIBJOL_01791	CDS	612				hypothetical protein
HFFIBJOL_01792	CDS	969	benM_3			HTH-type transcriptional regulator BenM
HFFIBJOL_01793	CDS	231				hypothetical protein
HFFIBJOL_01794	CDS	624	ves			Protein Ves
HFFIBJOL_01795	CDS	963		1.1.1.1		Alcohol dehydrogenase
HFFIBJOL_01796	CDS	303				hypothetical protein
HFFIBJOL_01797	CDS	1263		1.1.1.38		NAD-dependent malic enzyme
HFFIBJOL_01798	CDS	975				hypothetical protein
HFFIBJOL_01799	CDS	945				hypothetical protein
HFFIBJOL_01800	CDS	774	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
HFFIBJOL_01801	CDS	762	tam_5	2.1.1.144		Trans-aconitate 2-methyltransferase
HFFIBJOL_01802	CDS	630				hypothetical protein
HFFIBJOL_01803	CDS	465				hypothetical protein
HFFIBJOL_01804	CDS	396	sodN	1.15.1.1		Superoxide dismutase [Ni]
HFFIBJOL_01805	CDS	600	cheB_3	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
HFFIBJOL_01806	CDS	1869				hypothetical protein
HFFIBJOL_01807	CDS	858				hypothetical protein
HFFIBJOL_01808	CDS	732				hypothetical protein
HFFIBJOL_01809	CDS	1329				hypothetical protein
HFFIBJOL_01810	CDS	573				hypothetical protein
HFFIBJOL_01811	CDS	2418				hypothetical protein
HFFIBJOL_01812	CDS	3183	afsR_3		COG3629	Regulatory protein AfsR
HFFIBJOL_01813	CDS	987	benM_4			HTH-type transcriptional regulator BenM
HFFIBJOL_01814	CDS	648	snpA_1	3.4.24.77		Extracellular small neutral protease
HFFIBJOL_01815	CDS	546				hypothetical protein
HFFIBJOL_01816	CDS	744				hypothetical protein
HFFIBJOL_01817	CDS	375				hypothetical protein
HFFIBJOL_01818	CDS	375	crcB_1			Putative fluoride ion transporter CrcB
HFFIBJOL_01819	CDS	405				hypothetical protein
HFFIBJOL_01820	CDS	522	crcB_2			Putative fluoride ion transporter CrcB
HFFIBJOL_01821	CDS	738	nanR_2		COG2186	HTH-type transcriptional repressor NanR
HFFIBJOL_01822	CDS	1287	yycB_1		COG2807	putative transporter YycB
HFFIBJOL_01823	CDS	1137				hypothetical protein
HFFIBJOL_01824	CDS	1374	tetX	1.14.13.231	COG0654	Flavin-dependent monooxygenase
HFFIBJOL_01825	CDS	585				hypothetical protein
HFFIBJOL_01826	CDS	1518	mdtD_2			Putative multidrug resistance protein MdtD
HFFIBJOL_01827	CDS	1011				hypothetical protein
HFFIBJOL_01828	CDS	2277	ctpA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
HFFIBJOL_01829	CDS	939	fabH_2	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
HFFIBJOL_01830	CDS	432				hypothetical protein
HFFIBJOL_01831	CDS	225				hypothetical protein
HFFIBJOL_01832	CDS	810	glsA	3.5.1.2	COG2066	Thermolabile glutaminase
HFFIBJOL_01833	CDS	831				hypothetical protein
HFFIBJOL_01834	CDS	234				hypothetical protein
HFFIBJOL_01835	CDS	594				hypothetical protein
HFFIBJOL_01836	CDS	921	dcyD	4.4.1.15		D-cysteine desulfhydrase
HFFIBJOL_01837	CDS	1605	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
HFFIBJOL_01838	CDS	297				hypothetical protein
HFFIBJOL_01839	CDS	489				hypothetical protein
HFFIBJOL_01840	CDS	414	rsbW_1	2.7.11.1		Serine-protein kinase RsbW
HFFIBJOL_01841	CDS	963	rpoD			RNA polymerase sigma factor RpoD
HFFIBJOL_01842	CDS	684				hypothetical protein
HFFIBJOL_01843	CDS	909	yegS_2	2.7.1.-		lipid kinase YegS
HFFIBJOL_01844	CDS	258	whiB1_2			Transcriptional regulator WhiB1
HFFIBJOL_01845	CDS	1470	pdtaS	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
HFFIBJOL_01846	CDS	552	comR_1			HTH-type transcriptional repressor ComR
HFFIBJOL_01847	CDS	756	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HFFIBJOL_01848	CDS	171				hypothetical protein
HFFIBJOL_01849	CDS	1542				hypothetical protein
HFFIBJOL_01850	CDS	783	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
HFFIBJOL_01851	CDS	1545	nagZ_1	3.2.1.52		Beta-hexosaminidase
HFFIBJOL_01852	CDS	831	dasC_3		COG0395	Diacetylchitobiose uptake system permease protein DasC
HFFIBJOL_01853	CDS	984	dasB_1		COG1175	Diacetylchitobiose uptake system permease protein DasB
HFFIBJOL_01854	CDS	1272	dasA_1		COG1653	Diacetylchitobiose binding protein DasA
HFFIBJOL_01855	CDS	759	dasR		COG2188	HTH-type transcriptional repressor DasR
HFFIBJOL_01856	CDS	2157	cstA		COG1966	Peptide transporter CstA
HFFIBJOL_01857	CDS	198				hypothetical protein
HFFIBJOL_01858	CDS	276				hypothetical protein
HFFIBJOL_01859	CDS	1635	mctP			Monocarboxylate transport permease protein
HFFIBJOL_01860	CDS	510				hypothetical protein
HFFIBJOL_01861	CDS	1359	tolB_4			Tol-Pal system protein TolB
HFFIBJOL_01862	CDS	1347	tolB_5			Tol-Pal system protein TolB
HFFIBJOL_01863	CDS	2454				hypothetical protein
HFFIBJOL_01864	CDS	1077	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
HFFIBJOL_01865	CDS	1893	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
HFFIBJOL_01866	CDS	642	def_2	3.5.1.88		Peptide deformylase
HFFIBJOL_01867	CDS	987				hypothetical protein
HFFIBJOL_01868	CDS	408				hypothetical protein
HFFIBJOL_01869	CDS	861	sigR		COG1595	ECF RNA polymerase sigma factor SigR
HFFIBJOL_01870	CDS	594				hypothetical protein
HFFIBJOL_01871	CDS	627				hypothetical protein
HFFIBJOL_01872	CDS	777	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
HFFIBJOL_01873	CDS	714				hypothetical protein
HFFIBJOL_01874	CDS	1368	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
HFFIBJOL_01875	CDS	1008	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
HFFIBJOL_01876	CDS	924			COG3039	IS5 family transposase ISSco3
HFFIBJOL_01877	CDS	324	gdx_1		COG2076	Guanidinium exporter
HFFIBJOL_01878	CDS	630				hypothetical protein
HFFIBJOL_01879	CDS	843	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
HFFIBJOL_01880	CDS	438				hypothetical protein
HFFIBJOL_01881	CDS	1482	bca_1	1.11.1.-		Bromoperoxidase-catalase
HFFIBJOL_01882	CDS	420	furA		COG0735	Transcriptional regulator FurA
HFFIBJOL_01883	CDS	489				hypothetical protein
HFFIBJOL_01884	tRNA	75				tRNA-Met(cat)
HFFIBJOL_01885	CDS	1866				hypothetical protein
HFFIBJOL_01886	tRNA	75				tRNA-Met(cat)
HFFIBJOL_01887	CDS	2829				hypothetical protein
HFFIBJOL_01888	CDS	555				hypothetical protein
HFFIBJOL_01889	CDS	1092	ylbL		COG3480	putative protein YlbL
HFFIBJOL_01890	CDS	180				hypothetical protein
HFFIBJOL_01891	CDS	453	moaE1	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit 1
HFFIBJOL_01892	CDS	1152				hypothetical protein
HFFIBJOL_01893	CDS	1464				hypothetical protein
HFFIBJOL_01894	CDS	528				hypothetical protein
HFFIBJOL_01895	CDS	759				hypothetical protein
HFFIBJOL_01896	CDS	684				hypothetical protein
HFFIBJOL_01897	CDS	1737				hypothetical protein
HFFIBJOL_01898	CDS	507				hypothetical protein
HFFIBJOL_01899	CDS	1251				hypothetical protein
HFFIBJOL_01900	CDS	1398	ubiB	2.7.-.-		protein kinase UbiB
HFFIBJOL_01901	CDS	201				hypothetical protein
HFFIBJOL_01902	CDS	330				hypothetical protein
HFFIBJOL_01903	CDS	354	whiB_2			Transcriptional regulator WhiB
HFFIBJOL_01904	CDS	333				hypothetical protein
HFFIBJOL_01905	CDS	2274	uvrD2	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD2
HFFIBJOL_01906	CDS	243		1.-.-.-	COG0695	Putative glutaredoxin.1
HFFIBJOL_01907	CDS	1104				hypothetical protein
HFFIBJOL_01908	CDS	936	nudC	3.6.1.22		NADH pyrophosphatase
HFFIBJOL_01909	CDS	1401	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
HFFIBJOL_01910	CDS	3735	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
HFFIBJOL_01911	CDS	3234	rep_3	3.6.4.12		ATP-dependent DNA helicase Rep
HFFIBJOL_01912	CDS	489				hypothetical protein
HFFIBJOL_01913	CDS	3021				hypothetical protein
HFFIBJOL_01914	CDS	1281	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
HFFIBJOL_01915	CDS	807				hypothetical protein
HFFIBJOL_01916	CDS	978	tal_1	1.1.1.344		dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
HFFIBJOL_01917	CDS	1251				hypothetical protein
HFFIBJOL_01918	CDS	1980	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HFFIBJOL_01919	CDS	1710	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
HFFIBJOL_01920	CDS	990	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
HFFIBJOL_01921	CDS	1044	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
HFFIBJOL_01922	CDS	1731				hypothetical protein
HFFIBJOL_01923	CDS	1311				hypothetical protein
HFFIBJOL_01924	CDS	948	acoC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system
HFFIBJOL_01925	CDS	219				hypothetical protein
HFFIBJOL_01926	CDS	642	betI_4			HTH-type transcriptional regulator BetI
HFFIBJOL_01927	CDS	228				hypothetical protein
HFFIBJOL_01928	CDS	285				hypothetical protein
HFFIBJOL_01929	CDS	747				hypothetical protein
HFFIBJOL_01930	CDS	2622	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
HFFIBJOL_01931	CDS	873	menH_3	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HFFIBJOL_01932	CDS	942				hypothetical protein
HFFIBJOL_01933	CDS	153				hypothetical protein
HFFIBJOL_01934	CDS	606				hypothetical protein
HFFIBJOL_01935	CDS	855		3.1.3.97	COG0613	3',5'-nucleoside bisphosphate phosphatase
HFFIBJOL_01936	CDS	639				hypothetical protein
HFFIBJOL_01937	CDS	1254	yfmO			Multidrug efflux protein YfmO
HFFIBJOL_01938	CDS	597				hypothetical protein
HFFIBJOL_01939	CDS	1134	corA_3		COG0598	Cobalt/magnesium transport protein CorA
HFFIBJOL_01940	CDS	567				hypothetical protein
HFFIBJOL_01941	CDS	795				hypothetical protein
HFFIBJOL_01942	CDS	1299				hypothetical protein
HFFIBJOL_01943	CDS	591				hypothetical protein
HFFIBJOL_01944	CDS	1161	mrp		COG0489	Iron-sulfur cluster carrier protein
HFFIBJOL_01945	CDS	717				hypothetical protein
HFFIBJOL_01946	CDS	483	tatB			Sec-independent protein translocase protein TatB
HFFIBJOL_01947	CDS	2064				hypothetical protein
HFFIBJOL_01948	CDS	993				hypothetical protein
HFFIBJOL_01949	CDS	795				hypothetical protein
HFFIBJOL_01950	CDS	684		2.1.1.-	COG4122	Putative O-methyltransferase
HFFIBJOL_01951	CDS	168				hypothetical protein
HFFIBJOL_01952	CDS	801	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
HFFIBJOL_01953	CDS	609	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
HFFIBJOL_01954	CDS	417				hypothetical protein
HFFIBJOL_01955	CDS	900	folP2		COG0294	Inactive dihydropteroate synthase 2
HFFIBJOL_01956	CDS	753				hypothetical protein
HFFIBJOL_01957	CDS	1092	dapE_3	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
HFFIBJOL_01958	CDS	1020				hypothetical protein
HFFIBJOL_01959	CDS	567				hypothetical protein
HFFIBJOL_01960	CDS	1164	dapL_2	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
HFFIBJOL_01961	CDS	321			COG1146	Ferredoxin
HFFIBJOL_01962	CDS	1011				hypothetical protein
HFFIBJOL_01963	CDS	711				hypothetical protein
HFFIBJOL_01964	CDS	1128				hypothetical protein
HFFIBJOL_01965	CDS	639	desR_1		COG2197	Transcriptional regulatory protein DesR
HFFIBJOL_01966	CDS	1257				hypothetical protein
HFFIBJOL_01967	CDS	738				hypothetical protein
HFFIBJOL_01968	CDS	960	btuD_9	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFFIBJOL_01969	CDS	1239		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
HFFIBJOL_01970	CDS	2136				hypothetical protein
HFFIBJOL_01971	CDS	516				hypothetical protein
HFFIBJOL_01972	CDS	939	mshB_1	3.5.1.103	COG2120	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
HFFIBJOL_01973	CDS	195				hypothetical protein
HFFIBJOL_01974	CDS	2163	dap4_2	3.4.14.5		Dipeptidyl aminopeptidase 4
HFFIBJOL_01975	CDS	1017				hypothetical protein
HFFIBJOL_01976	CDS	1029	dppC_1		COG1173	Dipeptide transport system permease protein DppC
HFFIBJOL_01977	CDS	1803	ddpA_2		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
HFFIBJOL_01978	CDS	978	dppB_2		COG0601	Dipeptide transport system permease protein DppB
HFFIBJOL_01979	CDS	1071	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
HFFIBJOL_01980	CDS	1161	btuD_10	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFFIBJOL_01981	CDS	987	pld_1	3.1.4.-		Phospholipase D
HFFIBJOL_01982	CDS	1053	btuD_11	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFFIBJOL_01983	CDS	1035	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
HFFIBJOL_01984	CDS	1005	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
HFFIBJOL_01985	CDS	924	dppB_3		COG0601	Dipeptide transport system permease protein DppB
HFFIBJOL_01986	CDS	1623	oppA_1		COG4166	Oligopeptide-binding protein OppA
HFFIBJOL_01987	CDS	624				hypothetical protein
HFFIBJOL_01988	CDS	201				hypothetical protein
HFFIBJOL_01989	CDS	864				hypothetical protein
HFFIBJOL_01990	CDS	420				hypothetical protein
HFFIBJOL_01991	CDS	1053	btuD_12	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFFIBJOL_01992	CDS	1038	oppD_3		COG0444	Oligopeptide transport ATP-binding protein OppD
HFFIBJOL_01993	CDS	927	gsiD_3		COG1173	Glutathione transport system permease protein GsiD
HFFIBJOL_01994	CDS	924	dppB_4		COG0601	Dipeptide transport system permease protein DppB
HFFIBJOL_01995	CDS	1629	oppA_2		COG4166	Oligopeptide-binding protein OppA
HFFIBJOL_01996	CDS	1905	typA		COG1217	GTP-binding protein TypA/BipA
HFFIBJOL_01997	CDS	2391				hypothetical protein
HFFIBJOL_01998	CDS	318				hypothetical protein
HFFIBJOL_01999	CDS	861				hypothetical protein
HFFIBJOL_02000	CDS	2004	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
HFFIBJOL_02001	CDS	789				hypothetical protein
HFFIBJOL_02002	CDS	2901				hypothetical protein
HFFIBJOL_02003	CDS	480				hypothetical protein
HFFIBJOL_02004	CDS	417	mutT2	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 2
HFFIBJOL_02005	CDS	180				hypothetical protein
HFFIBJOL_02006	CDS	1695	yveA_3		COG0531	Aspartate-proton symporter
HFFIBJOL_02007	CDS	753	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
HFFIBJOL_02008	CDS	780				hypothetical protein
HFFIBJOL_02009	CDS	906	menH_4	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HFFIBJOL_02010	CDS	510				hypothetical protein
HFFIBJOL_02011	CDS	585				hypothetical protein
